,name,proximal_neighborhood,map_neighborhood,lat,lng,distance,neighborhood,categories,address,labeledLatLngs,postalCode,cc,city,state,country,formattedAddress,crossStreet,id
8,Rincon Lation Night Club,,,40.82339096069336,-73.89737701416016,3763,Norwood,Nightclub,1005 Intervale Ave,"[{'label': 'entrance', 'lat': 40.823399, 'lng': -73.897046}, {'label': 'display', 'lat': 40.82339096069336, 'lng': -73.89737701416016}]",10459,US,Bronx,NY,United States,"['1005 Intervale Ave', 'Bronx, NY 10459', 'United States']",,
0,Luna Night Club & Lounge,,,40.846210181854474,-73.90124081292899,1563,Wakefield,Nightclub,1834 Webster Ave,"[{'label': 'display', 'lat': 40.846210181854474, 'lng': -73.90124081292899}]",10457,US,Bronx,NY,United States,"['1834 Webster Ave', 'Bronx, NY 10457', 'United States']",,
1,Tantra Nightclub & Lounge,,,40.868988244852254,-73.91725842509227,2356,Co-op City,Nightclub,10th Ave & 4th St SW,"[{'label': 'display', 'lat': 40.868988244852254, 'lng': -73.91725842509227}]",,US,Calgary,NY,United States,"['10th Ave & 4th St SW', 'Calgary, NY', 'United States']",,
2,Morroco Nightclub,,,40.82386405,-73.94702706666666,3530,Eastchester,Gay Bar,Washington Heights,"[{'label': 'display', 'lat': 40.82386405, 'lng': -73.94702706666666}]",10031,US,New York,NY,United States,"['Washington Heights', 'New York, NY 10031', 'United States']",,
3,Zoodo night club,,,40.843545,-73.917328,523,Fieldston,Nightclub,1518 Macombs Rd,"[{'label': 'display', 'lat': 40.843545, 'lng': -73.917328}, {'label': 'entrance', 'lat': 40.843506, 'lng': -73.917436}]",10452,US,Bronx,NY,United States,"['1518 Macombs Rd (172 street)', 'Bronx, NY 10452', 'United States']",172 street,
4,Ballers Night Club,,,40.841407000000004,-73.917259,750,Riverdale,Nightlife Spot,1465 Jerome Ave,"[{'label': 'display', 'lat': 40.841407000000004, 'lng': -73.917259}, {'label': 'entrance', 'lat': 40.841343, 'lng': -73.917102}]",10452,US,Bronx,NY,United States,"['1465 Jerome Ave', 'Bronx, NY 10452', 'United States']",,
5,Le Trou Night Club,,,40.838348,-73.92006,1063,Kingsbridge,Lounge,,"[{'label': 'display', 'lat': 40.838348, 'lng': -73.92006}]",,US,,New York,United States,"['New York', 'United States']",,
6,Rhumba Night Club,,,40.847497,-73.90146999999999,1533,Marble Hill,Nightclub,396 E Tremont Ave,"[{'label': 'display', 'lat': 40.847497, 'lng': -73.90146999999999}, {'label': 'entrance', 'lat': 40.847626, 'lng': -73.901387}]",10457,US,Bronx,NY,United States,"['396 E Tremont Ave', 'Bronx, NY 10457', 'United States']",,
7,Tahbu Night Club,,,40.86130513100488,-73.91314201419885,1590,Woodlawn,Nightclub,,"[{'label': 'display', 'lat': 40.86130513100488, 'lng': -73.91314201419885}]",10468,US,Bronx,NY,United States,"['Bronx, NY 10468', 'United States']",,
8,Templo Caribeno Night Club,,,40.819281,-73.91416,3219,Norwood,,2999 3rd Ave,"[{'label': 'display', 'lat': 40.819281, 'lng': -73.91416}, {'label': 'entrance', 'lat': 40.819228, 'lng': -73.91396}]",10455,US,Bronx,NY,United States,"['2999 3rd Ave', 'Bronx, NY 10455', 'United States']",,
9,Rincon Lation Night Club,,,40.82339096069336,-73.89737701416016,3311,Williamsbridge,Nightclub,1005 Intervale Ave,"[{'label': 'entrance', 'lat': 40.823399, 'lng': -73.897046}, {'label': 'display', 'lat': 40.82339096069336, 'lng': -73.89737701416016}]",10459,US,Bronx,NY,United States,"['1005 Intervale Ave', 'Bronx, NY 10459', 'United States']",,
10,Capitol night club,,,40.81833160493077,-73.9263234076611,3338,Baychester,,150 & grand concourse,"[{'label': 'display', 'lat': 40.81833160493077, 'lng': -73.9263234076611}]",,US,Bronx,NY,United States,"['150 & grand concourse', 'Bronx, NY', 'United States']",,
11,Tropicana Theatere & Lounge,,,40.83740441148761,-73.87792219453874,3704,Pelham Parkway,Lounge,1060 Home St,"[{'label': 'display', 'lat': 40.83740441148761, 'lng': -73.87792219453874}]",10459,US,Bronx,NY,United States,"['1060 Home St (Westchester Ave)', 'Bronx, NY 10459', 'United States']",Westchester Ave,
0,Luna Night Club & Lounge,,,40.846210181854474,-73.90124081292899,1695,Wakefield,Nightclub,1834 Webster Ave,"[{'label': 'display', 'lat': 40.846210181854474, 'lng': -73.90124081292899}]",10457,US,Bronx,NY,United States,"['1834 Webster Ave', 'Bronx, NY 10457', 'United States']",,
1,Tantra Nightclub & Lounge,,,40.868988244852254,-73.91725842509227,1966,Co-op City,Nightclub,10th Ave & 4th St SW,"[{'label': 'display', 'lat': 40.868988244852254, 'lng': -73.91725842509227}]",,US,Calgary,NY,United States,"['10th Ave & 4th St SW', 'Calgary, NY', 'United States']",,
